,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 or above
,8.16,801,218.55,121.29,3.9,12.98,7.38,17.32,3.9
,8.37,27.59,3.9,12.82,3.9,3.9,627.4,4.97,103.15
,8.13,7.77,277.72,117.8,3.9,16.39,801,32.73,3.9
,7.76,605.92,3.9,3.9,3.9,3.9,25.8,3.9,3.9
,8.34,7.33,14.78,3.9,3.9,7.48,3.9,34.36,3.9
,8.81,6.77,766.91,5.79,750.59,4.44,9.11,3.9,30.03
,8.3,6.27,11.47,737.25,282.19,32.8,3.9,14.45,6.79
,8.4,801,12.2,11.82,3.9,6.58,3.9,616.95,3.9
,8.14,801,801,3.9,4.42,801,4,17.34,3.9
,9.29,6.67,801,380.18,3.9,4.06,3.9,7.71,3.9
,8.44,3.9,801,624.49,214.33,54.14,11.9,3.9,3.9
,8.44,783.32,3.9,15.9,713.61,58.58,6.2,3.9,3.9
,8.64,536.98,666.62,513.65,298.49,801,14.02,5.54,3.9
,8.72,3.9,801,3.9,103.32,3.9,3.9,42.06,3.9
,7.55,3.9,3.9,3.9,134.83,3.9,3.9,252.77,3.9
,8.06,3.9,3.9,10.14,3.9,313.68,3.9,3.9,3.9
,3.9,41.65,584.83,163.97,3.9,40.73,794.34,3.9,12.47
,3.9,801,736.88,167.16,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,692.47,24.38,45.48,3.9,3.9,129.46
,3.9,3.9,3.9,801,3.9,164.69,3.9,4.97,3.9
,3.9,801,114.01,100.5,743.97,12.58,3.9,25.17,3.9
,3.9,801,228.96,3.9,6.03,3.9,475.91,3.9,3.9
,3.9,482.21,19.49,4.2,357.78,31.15,3.9,13.78,3.9
,3.9,696.98,801,13.82,3.9,7.97,166.6,9.11,20.85
,3.9,3.9,45.97,801,3.9,14.73,3.9,3.9,3.9
,3.9,3.9,419.53,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,421.32,599.02,13.99,18.93,801,3.9
,3.9,3.9,256.72,3.9,3.9,376.52,286.89,3.9,3.9
,3.9,801,238.76,3.9,566.97,3.9,3.9,6.01,3.9
,3.9,3.9,4.15,757.59,42.25,3.9,3.9,3.9,3.9
,3.9,3.9,659.56,801,315.46,135.72,3.9,3.9,3.9
,3.9,3.9,56.91,130.79,3.9,3.9,3.9,4.49,3.9
,,,,,3.9,757.32,3.9,,
,,,,,10.09,3.9,312.02,,
,,,,,699.73,3.9,3.9,,
,,,,,51.91,3.9,3.9,,